Matrics Num (hashed),Attendance,Occurrence,Marks
F0A0BEEB,75,OCC1,67
A4ED03C6,0,OCC1,67
6B2C616F,100,OCC1,64
8DA718C9,75,OCC1,70
D13F4F8F,75,OCC1,49
6A20C116,75,OCC1,70
9B700154,100,OCC1,66
90A1F249,50,OCC1,67
61ED1DF7,75,OCC1,47
75C9268F,100,OCC1,67
2BD878AC,100,OCC1,54
4319FB08,100,OCC1,52
EBB49A19,0,OCC1,55
6F14774D,100,OCC1,55
B1D9F40C,75,OCC1,71
3236C5CA,75,OCC1,57
3B798EC8,25,OCC1,44
26D23685,50,OCC1,78
E09ACC65,100,OCC1,88
27777AFE,100,OCC1,90
E9D4FBFA,100,OCC1,76
254A11D7,100,OCC1,62
7ABFAE58,100,OCC1,43
B6F6D82F,100,OCC1,49
01EE0FE1,75,OCC1,58
5CD1DB82,50,OCC1,55
5BE7F859,75,OCC1,44
6DEAF68B,75,OCC1,72
6E8691E6,100,OCC1,67
B64FCE64,100,OCC1,69
7EA6BBD8,75,OCC1,62
1DD697B9,50,OCC1,64
F5D6D1B9,100,OCC1,73
69B79712,75,OCC1,46
D2E9A1A3,100,OCC1,86
150B64D2,100,OCC1,69
E20F9FEA,25,OCC1,72
769F9C19,100,OCC1,54
044E2AD1,100,OCC1,72
A7B7FFF3,50,OCC1,63
13581AB0,100,OCC1,79
5261F61E,75,OCC1,51
FAEA7317,0,OCC1,50
8902AB50,50,OCC1,78
D799263C,50,OCC1,64
F60E5459,25,OCC1,55
52A95A01,50,OCC1,71
3DD7161A,100,OCC1,69
BB959B7C,25,OCC1,74
E389CE73,75,OCC1,64
B955DFD3,50,OCC1,70
6C359577,100,OCC1,59
507394DE,100,OCC1,76
9240D427,50,OCC1,59
F1BDCD54,100,OCC1,63
92C678FE,75,OCC1,75
15A390A1,100,OCC1,49
3911FA40,75,OCC1,44
59970E57,0,OCC1,59
AF278DED,100,OCC1,66
79F84199,50,OCC1,51
5540D6D5,75,OCC1,69
13980C62,100,OCC2,59
376F0754,25,OCC2,54
F3867BC1,100,OCC2,71
7CFD65B9,75,OCC2,69
08ADBF8D,75,OCC2,58
A861B307,100,OCC2,75
1C91AA62,100,OCC2,49
46D4D366,75,OCC2,47
640FE8E8,100,OCC2,54
ECB4D923,0,OCC2,74
03C8DE68,75,OCC2,53
1EAE8419,0,OCC2,54
589AC855,75,OCC2,51
97E28E8A,100,OCC2,55
D240E244,100,OCC2,80
44E19C66,50,OCC2,51
ACEF14CB,50,OCC3,59
2726026A,75,OCC3,85
8DC17773,100,OCC3,65
4FD6D3D0,75,OCC3,70
FCDD5B72,100,OCC3,51
BFBE6BF9,75,OCC3,80
311BE2CD,75,OCC3,43
8BDA8F98,100,OCC3,55
9913B9F6,100,OCC3,51
ED521525,0,OCC3,63
9F2BDA6D,25,OCC3,53
FB5BF926,50,OCC3,68
D80BC8E5,75,OCC3,79
0C4C3A6D,100,OCC3,69
B2477E4F,50,OCC3,58
95EB4FCF,75,OCC3,58
A3FFA83D,75,OCC3,56
2F9A43FD,50,OCC3,82
DD41C678,100,OCC3,57
B3AEDA6D,100,OCC3,91
AD17E0B4,100,OCC3,71
AA578DD2,25,OCC3,57
102F5558,100,OCC3,68
C6A62AEE,50,OCC3,73
913D4AD8,25,OCC3,40
94EDFCDD,0,OCC3,61
4339CBCA,75,OCC3,58
CE2B32B3,50,OCC3,51
BE991621,50,OCC3,50
D50AA634,25,OCC3,75
68472C5D,25,OCC3,61
B4D17AFF,50,OCC3,57
1C58F468,75,OCC3,51
9B97643C,100,OCC3,70
80174D5E,75,OCC3,69
DEE55E67,25,OCC3,54
75A2F2BC,75,OCC3,58
33B17523,25,OCC3,62
0939B999,25,OCC3,47
34A7B69C,75,OCC3,72
DE9837C7,100,OCC3,62
DBFE9B84,75,OCC3,68
E4B45EBF,100,OCC3,81
96CA4BBA,25,OCC3,64
D51480E2,100,OCC3,47
02B5EA8B,100,OCC3,93
FAC29059,0,OCC3,74
149BC87B,75,OCC3,50
7AA6CAAB,25,OCC3,54
614F0C79,0,OCC3,70
A1BB2A35,100,OCC3,66
5477A8B4,80,OCC4 RL,58
2E88C686,40,OCC4 RL,69
AAC22AAF,0,OCC4 RL,50
3AE67A21,20,OCC4 RL,62
AE68A34D,40,OCC4 RL,57
6D376C83,20,OCC4 RL,82
A3FFB694,60,OCC4 RL,68
6E9077E7,80,OCC4 RL,67
0D97BA22,80,OCC4 RL,49
96178C01,40,OCC4 RL,60
F90B27BC,40,OCC4 RL,60
288B21C9,60,OCC4 RL,75
AAEA79FC,60,OCC4 RL,59
C16DA9BB,60,OCC4 RL,45
A23F12C4,80,OCC4 RL,66
AABDC870,80,OCC4 RL,65
936B9DA2,60,OCC4 RL,72
762450B0,40,OCC4 RL,74
B1B4B869,40,OCC4 RL,59
71E282BB,80,OCC4 RL,72
ECB1F360,100,OCC4 RL,60
C3C7A1D7,40,OCC4 RL,69
F9C10425,0,OCC4 RL,51
3D77E392,20,OCC4 RL,71
9644207A,60,OCC4 RL,84
C72CFABB,40,OCC4 RL,57
7F7CB11A,0,OCC4 RL,53
1C91B8CC,0,OCC4 RL,85
6B973717,0,OCC4 RL,49
E4A8C6D5,80,OCC4 RL,57
77D10B84,0,OCC4 RL,56
8C07353F,40,OCC4 RL,63
358E7910,0,OCC4 RL,74
FC6299A9,60,OCC4 RL,63
C4583142,40,OCC4 RL,71
85B91A56,60,OCC4 RL,70
260E1079,80,OCC4 RL,77
B9C8B3A6,80,OCC4 RL,71
D4CCF512,0,OCC4 RL,56
35118C4A,60,OCC4 RL,58
8E1483A0,40,OCC4 RL,60
E72CA520,60,OCC4 RL,62
4A383301,60,OCC4 RL,54
D11D27DA,20,OCC4 RL,57
ABD912E3,80,OCC4 RL,86
0B226EF3,20,OCC4 RL,59
189A37E7,60,OCC4 RL,80
AE83DB4D,20,OCC4 RL,89
351BA83F,60,OCC4 RL,62
EDF45CEE,40,OCC4 RL,42
