Matrics Num (hashed),Attendance,Occurrence,Marks,Performance
F0A0BEEB,75,OCC1,67,71.42262431800863
A4ED03C6,0,OCC1,67,15.728539485435482
6B2C616F,100,OCC1,64,35.65266082617894
8DA718C9,75,OCC1,70,71.70975645001953
D13F4F8F,75,OCC1,49,55.65982803331598
6A20C116,75,OCC1,70,71.70975645001953
9B700154,100,OCC1,66,36.12379847625066
90A1F249,50,OCC1,67,62.10661558120321
61ED1DF7,75,OCC1,47,52.049133801236685
75C9268F,100,OCC1,67,36.4977520806081
2BD878AC,100,OCC1,54,35.08152162974945
4319FB08,100,OCC1,52,35.06116604361791
EBB49A19,0,OCC1,55,17.28528412762996
6F14774D,100,OCC1,55,35.09564382401482
B1D9F40C,75,OCC1,71,71.75838271637001
3236C5CA,75,OCC1,57,66.05143752981922
3B798EC8,25,OCC1,44,33.63124428352967
26D23685,50,OCC1,78,59.642291876876726
E09ACC65,100,OCC1,88,94.24785674796566
27777AFE,100,OCC1,90,94.41194662277204
E9D4FBFA,100,OCC1,76,92.74150685123185
254A11D7,100,OCC1,62,35.3953035770765
7ABFAE58,100,OCC1,43,35.02819859580909
B6F6D82F,100,OCC1,49,35.04307037028543
01EE0FE1,75,OCC1,58,67.07297358045406
5CD1DB82,50,OCC1,55,62.10661558120321
5BE7F859,75,OCC1,44,46.304416905950916
6DEAF68B,75,OCC1,72,71.79110033453375
6E8691E6,100,OCC1,67,36.4977520806081
B64FCE64,100,OCC1,69,37.74246725545545
7EA6BBD8,75,OCC1,62,69.95804158710203
1DD697B9,50,OCC1,64,62.10661558120321
F5D6D1B9,100,OCC1,73,90.7946719997621
69B79712,75,OCC1,46,50.12335046127532
D2E9A1A3,100,OCC1,86,94.06428999367948
150B64D2,100,OCC1,69,37.74246725545545
E20F9FEA,25,OCC1,72,24.754249082814006
769F9C19,100,OCC1,54,35.08152162974945
044E2AD1,100,OCC1,72,88.52117053147003
A7B7FFF3,50,OCC1,63,62.10661558120321
13581AB0,100,OCC1,79,93.25895089508197
5261F61E,75,OCC1,51,58.415252681050795
FAEA7317,0,OCC1,50,18.652973788199258
8902AB50,50,OCC1,78,59.642291876876726
D799263C,50,OCC1,64,62.10661558120321
F60E5459,25,OCC1,55,26.148738926831903
52A95A01,50,OCC1,71,62.10661558120321
3DD7161A,100,OCC1,69,37.74246725545545
BB959B7C,25,OCC1,74,25.52364292786313
E389CE73,75,OCC1,64,70.75816442324812
B955DFD3,50,OCC1,70,62.10661558120321
6C359577,100,OCC1,59,35.201789232885226
507394DE,100,OCC1,76,92.74150685123185
9240D427,50,OCC1,59,62.10661558120321
F1BDCD54,100,OCC1,63,35.50525991763336
92C678FE,75,OCC1,75,71.83653339955782
15A390A1,100,OCC1,49,35.04307037028543
3911FA40,75,OCC1,44,46.304416905950916
59970E57,0,OCC1,59,16.30064963891952
AF278DED,100,OCC1,66,36.12379847625066
79F84199,50,OCC1,51,58.50623238172775
5540D6D5,75,OCC1,69,71.64134690783791
13980C62,100,OCC2,59,35.201789232885226
376F0754,25,OCC2,54,26.47571654634044
F3867BC1,100,OCC2,71,82.20200353950061
7CFD65B9,75,OCC2,69,71.64134690783791
08ADBF8D,75,OCC2,58,67.07297358045406
A861B307,100,OCC2,75,92.48361050054093
1C91AA62,100,OCC2,49,35.04307037028543
46D4D366,75,OCC2,47,52.049133801236685
640FE8E8,100,OCC2,54,35.08152162974945
ECB4D923,0,OCC2,74,17.015528536437667
03C8DE68,75,OCC2,53,61.05961506090505
1EAE8419,0,OCC2,54,17.562239217734014
589AC855,75,OCC2,51,58.415252681050795
97E28E8A,100,OCC2,55,35.09564382401482
D240E244,100,OCC2,80,93.39451469015019
44E19C66,50,OCC2,51,58.50623238172775
ACEF14CB,50,OCC3,59,62.10661558120321
2726026A,75,OCC3,85,70.18141668878762
8DC17773,100,OCC3,65,35.85196763178712
4FD6D3D0,75,OCC3,70,71.70975645001953
FCDD5B72,100,OCC3,51,35.053840880506286
BFBE6BF9,75,OCC3,80,71.83653339955782
311BE2CD,75,OCC3,43,44.51514142404436
8BDA8F98,100,OCC3,55,35.09564382401482
9913B9F6,100,OCC3,51,35.053840880506286
ED521525,0,OCC3,63,15.728539485435482
9F2BDA6D,25,OCC3,53,26.820156040845497
FB5BF926,50,OCC3,68,62.10661558120321
D80BC8E5,75,OCC3,79,71.83653339955782
0C4C3A6D,100,OCC3,69,37.74246725545545
B2477E4F,50,OCC3,58,62.10661558120321
95EB4FCF,75,OCC3,58,67.07297358045406
A3FFA83D,75,OCC3,56,64.91508961517383
2F9A43FD,50,OCC3,82,53.91741534459541
DD41C678,100,OCC3,57,35.135970151959256
B3AEDA6D,100,OCC3,91,94.48616535117608
AD17E0B4,100,OCC3,71,82.20200353950061
AA578DD2,25,OCC3,57,24.9657984166238
102F5558,100,OCC3,68,37.01659350594353
C6A62AEE,50,OCC3,73,62.10661558120321
913D4AD8,25,OCC3,40,34.72105713612813
94EDFCDD,0,OCC3,61,15.948882322665686
4339CBCA,75,OCC3,58,67.07297358045406
CE2B32B3,50,OCC3,51,58.50623238172775
BE991621,50,OCC3,50,57.18438886605981
D50AA634,25,OCC3,75,26.148738926831903
68472C5D,25,OCC3,61,24.754249082814006
B4D17AFF,50,OCC3,57,62.10661558120321
1C58F468,75,OCC3,51,58.415252681050795
9B97643C,100,OCC3,70,38.766105405542554
80174D5E,75,OCC3,69,71.64134690783791
DEE55E67,25,OCC3,54,26.47571654634044
75A2F2BC,75,OCC3,58,67.07297358045406
33B17523,25,OCC3,62,24.754249082814006
0939B999,25,OCC3,47,31.685165257495996
34A7B69C,75,OCC3,72,71.79110033453375
DE9837C7,100,OCC3,62,35.3953035770765
DBFE9B84,75,OCC3,68,71.54770784657715
E4B45EBF,100,OCC3,81,93.52096532052028
96CA4BBA,25,OCC3,64,24.754249082814006
D51480E2,100,OCC3,47,35.03593106395479
02B5EA8B,100,OCC3,93,94.61744396397542
FAC29059,0,OCC3,74,17.015528536437667
149BC87B,75,OCC3,50,57.18438886605981
7AA6CAAB,25,OCC3,54,26.47571654634044
614F0C79,0,OCC3,70,16.109663833330213
A1BB2A35,100,OCC3,66,36.12379847625066
5477A8B4,80,OCC4 RL,58,60.342911833179706
2E88C686,40,OCC4 RL,69,43.23365638295647
AAC22AAF,0,OCC4 RL,50,18.652973788199258
3AE67A21,20,OCC4 RL,62,20.96202195588999
AE68A34D,40,OCC4 RL,57,43.842026135109364
6D376C83,20,OCC4 RL,82,26.402486205283573
A3FFB694,60,OCC4 RL,68,71.76939775975018
6E9077E7,80,OCC4 RL,67,68.21269539343668
0D97BA22,80,OCC4 RL,49,48.009655210427276
